SR NO,API NAME,ENDPOINT URL,METHOD,REQUEST PAYLOAD,RESPONSE,STATUS
1,Register Parent,https://tdtlworld.com/icampus-backend/api/parents/,POST,"{
    ""name"": ""Parent2"",
    ""email"": ""parent2@gmail.com"",
    ""phone"": ""1111111111"",
    ""password"": ""123456"",
    ""address"": ""Pune"",
    ""occupation"": ""Software Engineer"",
    ""my_childs"": [2,3]
    }","{
    ""id"": 3,
    ""name"": ""Parent2"",
    ""email"": ""parent2@gmail.com"",
    ""phone"": ""1111111111"",
    ""address"": ""Pune"",
    ""occupation"": ""Software Engineer"",
    ""my_childs"": [
        2,
        3
    ],
    ""is_active"": true,
    ""created_at"": ""2026-06-25T07:17:50.071173Z""
}",201
,,,,,,
2,Select child dd,https://tdtlworld.com/icampus-backend/api/studensts_dd/,GET,," {
        ""id"": 1,
        ""name"": ""Ali khan""
    },
    {
        ""id"": 2,
        ""name"": ""Ayesha Noor""
    },
    {
        ""id"": 3,
        ""name"": ""Usman Tariq""
    },",200
,,,,,,
3,Parent : Programs,https://tdtlworld.com/icampus-backend/api/parent/programs/,GET,,"{
    ""success"": true,
    ""count"": 3,
    ""data"": [
        {
            ""student_id"": 1,
            ""student_name"": ""Ali khan"",
            ""class_id"": 1,
            ""programs"": [
                {
                    ""id"": 5,
                    ""title"": ""Science Exhibition"",
                    ""description"": ""Annual science fair"",
                    ""target_type"": ""ALL"",
                    ""event_date"": ""2026-06-10""
                },
                {
                    ""id"": 4,
                    ""title"": ""Science Exhibition"",
                    ""description"": ""Annual science fair"",
                    ""target_type"": ""ALL"",
                    ""event_date"": ""2026-06-10""
                },
                {
                    ""id"": 1,
                    ""title"": ""Science Exhibition"",
                    ""description"": ""Annual science fair"",
                    ""target_type"": ""ALL"",
                    ""event_date"": ""2026-06-10""
                },
                {
                    ""id"": 7,
                    ""title"": ""TDTL Anniversary"",
                    ""description"": ""TDTL Anniversary"",
                    ""target_type"": ""ALL"",
                    ""event_date"": ""2026-06-11""
                },
                {
                    ""id"": 6,
                    ""title"": ""farwell"",
                    ""description"": ""Annual farewell"",
                    ""target_type"": ""ALL"",
                    ""event_date"": ""2026-06-15""
                },
                {
                    ""id"": 2,
                    ""title"": ""Sports Day"",
                    ""description"": ""Annual sports event"",
                    ""target_type"": ""ALL"",
                    ""event_date"": ""2026-06-15""
                }
            ]
        },
        {
            ""student_id"": 11,
            ""student_name"": ""saurabh"",
            ""class_id"": 3,
            ""programs"": [
                {
                    ""id"": 4,
                    ""title"": ""Science Exhibition"",
                    ""description"": ""Annual science fair"",
                    ""target_type"": ""ALL"",
                    ""event_date"": ""2026-06-10""
                },
                {
                    ""id"": 1,
                    ""title"": ""Science Exhibition"",
                    ""description"": ""Annual science fair"",
                    ""target_type"": ""ALL"",
                    ""event_date"": ""2026-06-10""
                },
                {
                    ""id"": 5,
                    ""title"": ""Science Exhibition"",
                    ""description"": ""Annual science fair"",
                    ""target_type"": ""ALL"",
                    ""event_date"": ""2026-06-10""
                },
                {
                    ""id"": 7,
                    ""title"": ""TDTL Anniversary"",
                    ""description"": ""TDTL Anniversary"",
                    ""target_type"": ""ALL"",
                    ""event_date"": ""2026-06-11""
                },
                {
                    ""id"": 6,
                    ""title"": ""farwell"",
                    ""description"": ""Annual farewell"",
                    ""target_type"": ""ALL"",
                    ""event_date"": ""2026-06-15""
                },
                {
                    ""id"": 2,
                    ""title"": ""Sports Day"",
                    ""description"": ""Annual sports event"",
                    ""target_type"": ""ALL"",
                    ""event_date"": ""2026-06-15""
                },
                {
                    ""id"": 3,
                    ""title"": ""Class 10 Seminar"",
                    ""description"": ""Career counseling"",
                    ""target_type"": ""CLASS"",
                    ""event_date"": ""2026-06-20""
                }
            ]
        },
        {
            ""student_id"": 15,
            ""student_name"": ""student1"",
            ""class_id"": 1,
            ""programs"": [
                {
                    ""id"": 5,
                    ""title"": ""Science Exhibition"",
                    ""description"": ""Annual science fair"",
                    ""target_type"": ""ALL"",
                    ""event_date"": ""2026-06-10""
                },
                {
                    ""id"": 4,
                    ""title"": ""Science Exhibition"",
                    ""description"": ""Annual science fair"",
                    ""target_type"": ""ALL"",
                    ""event_date"": ""2026-06-10""
                },
                {
                    ""id"": 1,
                    ""title"": ""Science Exhibition"",
                    ""description"": ""Annual science fair"",
                    ""target_type"": ""ALL"",
                    ""event_date"": ""2026-06-10""
                },
                {
                    ""id"": 7,
                    ""title"": ""TDTL Anniversary"",
                    ""description"": ""TDTL Anniversary"",
                    ""target_type"": ""ALL"",
                    ""event_date"": ""2026-06-11""
                },
                {
                    ""id"": 6,
                    ""title"": ""farwell"",
                    ""description"": ""Annual farewell"",
                    ""target_type"": ""ALL"",
                    ""event_date"": ""2026-06-15""
                },
                {
                    ""id"": 2,
                    ""title"": ""Sports Day"",
                    ""description"": ""Annual sports event"",
                    ""target_type"": ""ALL"",
                    ""event_date"": ""2026-06-15""
                }
            ]
        }
    ]
}",200
,,,,,,
,,,,,,
,,,,,,
4,Parrents : Show_all_Child_attendence,https://tdtlworld.com/icampus-backend/api/parent/attendance/,GET,,"{
    ""success"": true,
    ""count"": 2,
    ""children"": [
        {
            ""student_id"": 2,
            ""student_name"": ""Ayesha Noor"",
            ""attendance_percentage"": 96.0,
            ""present_days"": 24.0,
            ""absent_days"": 1.0,
            ""total_days"": 25,
            ""attendance_history"": [
                {
                    ""date"": ""2026-06-25"",
                    ""status"": ""Present""
                },
                {
                    ""date"": ""2026-06-24"",
                    ""status"": ""Present""
                },
                {
                    ""date"": ""2026-06-23"",
                    ""status"": ""Present""
                },
                {
                    ""date"": ""2026-06-22"",
                    ""status"": ""Present""
                },
                {
                    ""date"": ""2026-06-21"",
                    ""status"": ""Present""
                },
                {
                    ""date"": ""2026-06-20"",
                    ""status"": ""Present""
                },
                {
                    ""date"": ""2026-06-19"",
                    ""status"": ""Present""
                },
                {
                    ""date"": ""2026-06-18"",
                    ""status"": ""Present""
                },
                {
                    ""date"": ""2026-06-17"",
                    ""status"": ""Present""
                },
                {
                    ""date"": ""2026-06-16"",
                    ""status"": ""Present""
                },
                {
                    ""date"": ""2026-06-15"",
                    ""status"": ""Present""
                },
                {
                    ""date"": ""2026-06-14"",
                    ""status"": ""Present""
                },
                {
                    ""date"": ""2026-06-13"",
                    ""status"": ""Present""
                },
                {
                    ""date"": ""2026-06-12"",
                    ""status"": ""Present""
                },
                {
                    ""date"": ""2026-06-11"",
                    ""status"": ""Present""
                },
                {
                    ""date"": ""2026-06-10"",
                    ""status"": ""Present""
                },
                {
                    ""date"": ""2026-06-09"",
                    ""status"": ""Present""
                },
                {
                    ""date"": ""2026-06-08"",
                    ""status"": ""Present""
                },
                {
                    ""date"": ""2026-06-07"",
                    ""status"": ""Present""
                },
                {
                    ""date"": ""2026-06-06"",
                    ""status"": ""Present""
                },
                {
                    ""date"": ""2026-06-05"",
                    ""status"": ""Present""
                },
                {
                    ""date"": ""2026-06-04"",
                    ""status"": ""Present""
                },
                {
                    ""date"": ""2026-06-03"",
                    ""status"": ""Absent""
                },
                {
                    ""date"": ""2026-06-02"",
                    ""status"": ""Present""
                },
                {
                    ""date"": ""2026-06-01"",
                    ""status"": ""Present""
                }
            ]
        },
        {
            ""student_id"": 3,
            ""student_name"": ""Usman Tariq"",
            ""attendance_percentage"": 92.0,
            ""present_days"": 23.0,
            ""absent_days"": 2.0,
            ""total_days"": 25,
            ""attendance_history"": [
                {
                    ""date"": ""2026-06-25"",
                    ""status"": ""Present""
                },
                {
                    ""date"": ""2026-06-24"",
                    ""status"": ""Absent""
                },
                {
                    ""date"": ""2026-06-23"",
                    ""status"": ""Present""
                },
                {
                    ""date"": ""2026-06-22"",
                    ""status"": ""Present""
                },
                {
                    ""date"": ""2026-06-21"",
                    ""status"": ""Present""
                },
                {
                    ""date"": ""2026-06-20"",
                    ""status"": ""Present""
                },
                {
                    ""date"": ""2026-06-19"",
                    ""status"": ""Present""
                },
                {
                    ""date"": ""2026-06-18"",
                    ""status"": ""Present""
                },
                {
                    ""date"": ""2026-06-17"",
                    ""status"": ""Present""
                },
                {
                    ""date"": ""2026-06-16"",
                    ""status"": ""Present""
                },
                {
                    ""date"": ""2026-06-15"",
                    ""status"": ""Present""
                },
                {
                    ""date"": ""2026-06-14"",
                    ""status"": ""Present""
                },
                {
                    ""date"": ""2026-06-13"",
                    ""status"": ""Present""
                },
                {
                    ""date"": ""2026-06-12"",
                    ""status"": ""Present""
                },
                {
                    ""date"": ""2026-06-11"",
                    ""status"": ""Present""
                },
                {
                    ""date"": ""2026-06-10"",
                    ""status"": ""Present""
                },
                {
                    ""date"": ""2026-06-09"",
                    ""status"": ""Present""
                },
                {
                    ""date"": ""2026-06-08"",
                    ""status"": ""Present""
                },
                {
                    ""date"": ""2026-06-07"",
                    ""status"": ""Present""
                },
                {
                    ""date"": ""2026-06-06"",
                    ""status"": ""Present""
                },
                {
                    ""date"": ""2026-06-05"",
                    ""status"": ""Present""
                },
                {
                    ""date"": ""2026-06-04"",
                    ""status"": ""Present""
                },
                {
                    ""date"": ""2026-06-03"",
                    ""status"": ""Present""
                },
                {
                    ""date"": ""2026-06-02"",
                    ""status"": ""Absent""
                },
                {
                    ""date"": ""2026-06-01"",
                    ""status"": ""Present""
                }
            ]
        }
    ]
}",200
,,"Additional filters
?student_name=Usman Tariq
?month=6
?year=2026
?month=6&year=2026
?student_name=Usman Tariq&month=6&year=2026
",,,,
